id,nama_buku,kode_buku,tanggal_pengesahan,kategori_buku,description,created_at
1,Implementasi dan Analisis Sistem Tenaga Listrik di Pabrik Manufaktur,1,2015-11-10,laporan magang,,2024-07-09 12:49:25
2,Teknologi Voice Over Internet Protokol (VOIP) di Indonesia,2,2011-12-08,laporan skripsi,,2024-07-09 12:49:25
3,Implementasi Sistem Sistem Tenaga Listrik,3,2014-01-05,keteknikan,,2024-07-09 12:49:25
4,Rancang Bangun Sistem Kendali Otomatis untuk Robot Industri,4,2011-12-10,laporan magang,,2024-07-09 12:49:25
5,Studi dan Implementasi Task Modeling Studi Kasus Sistem Informasi Pelanggan pada Distro,5,2023-12-19,laporan skripsi,,2024-07-09 12:49:25
6,Rancang Bangun Sistem Komunikasi Digital,6,2015-11-21,keteknikan,,2024-07-09 12:49:25
7,Studi Kasus: Perbaikan dan Pemeliharaan Jaringan Distribusi Listrik di Perusahaan XYZ,7,2015-04-16,laporan magang,,2024-07-09 12:49:25
8,Studi Dan Implementasi Active Fuzzy Constrained Clustering Untuk Pengelompokan Dokumen,8,2022-05-24,laporan skripsi,,2024-07-09 12:49:25
9,Rancang Bangun Sistem Sistem Tenaga Listrik,9,2012-06-05,keteknikan,,2024-07-09 12:49:25
10,Desain dan Implementasi Sistem Energi Terbarukan Berbasis Panel Surya,10,2017-03-13,laporan magang,,2024-07-09 12:49:25
11,Studi Banding Implementasi Java RMI Dan Java Corba Pada Sistem Terdistribusi Dengan Kasus Komputasi,11,2012-12-26,laporan skripsi,,2024-07-09 12:49:25
12,Pengembangan Sistem Monitoring dan Pengendalian Jarak Jauh pada Gardu Induk,13,2020-06-03,laporan magang,,2024-07-09 12:49:25
13,SMS Gateway Untuk Informasi Jadwal Penerbangan,14,2022-10-17,laporan skripsi,,2024-07-09 12:49:25
14,Analisis Sistem Komunikasi Digital,15,2017-02-05,keteknikan,,2024-07-09 12:49:25
15,Optimisasi Sistem Pendingin pada Data Center dengan Teknologi IoT,16,2011-03-09,laporan magang,,2024-07-09 12:49:25
16,SMS Gateway Application For Location Based Service (LBS) System With Cell Global Identity And Timing,17,2023-08-12,laporan skripsi,,2024-07-09 12:49:25
17,Implementasi Sistem Elektronika Analog,18,2019-02-11,keteknikan,,2024-07-09 12:49:25
18,Aplikasi Teknik Kendali Digital pada Sistem Robotika di Industri Otomotif,19,2012-10-19,laporan magang,,2024-07-09 12:49:25
19,Sistem Perwalian Berbasis Web,20,2023-10-22,laporan skripsi,,2024-07-09 12:49:25
20,Analisis Sistem Sistem Tenaga Listrik,21,2021-10-14,keteknikan,,2024-07-09 12:49:25
21,Penerapan Algoritma Pengoptimalan untuk Efisiensi Konsumsi Energi di Gedung Perkantoran,22,2011-05-11,laporan magang,,2024-07-09 12:49:25
